	GPS Time	 Device Time	 Longitude	 Latitude	GPS Speed (Meters/second)	 Horizontal Dilution of Precision	 Altitude	 Bearing	 G(x)	 G(y)	 G(z)	 G(calibrated)	Speed (GPS)(km/h)	Acceleration Sensor(Total)(g)	Engine RPM(rpm)	Engine Load(%)	Throttle Position(Manifold)(%)	Engine Coolant Temperature(°C)	Road Structure
65	Mon Nov 07 16:42:32 GMT+08:00 2016	07-Nov-2016 16:42:30.899	103.325715	2.02800333333	5.1081033	5.5	19.0	26.7	0.509	-0.293	10.461	0.08704013	18.3891716003	0.0870401263237	1985.75	72.1568603516	25.490196228027344	88.0	Straight Road
66	Mon Nov 07 16:42:33 GMT+08:00 2016	07-Nov-2016 16:42:31.899	103.32574	2.028065	6.159681	5.5	18.8	25.54	0.199	-1.033	9.535	-0.0031348467	22.1748504639	-0.00313484668732	1280.25	32.5490188599	18.823530197143555	88.0	Straight Road
67	Mon Nov 07 16:42:34 GMT+08:00 2016	07-Nov-2016 16:42:32.898	103.32578	2.028135	7.5319304	5.5	18.6	28.1	0.925	-1.037	9.744	0.02232188	27.1149482727	0.0223218798637	1239.0	29.8039226532	18.823530197143555	88.0	Straight Road
68	Mon Nov 07 16:42:35 GMT+08:00 2016	07-Nov-2016 16:42:33.899	103.32583	2.028215	8.506299	5.5	18.4	27.36	1.11	-1.172	9.967	0.04824251	30.622674942	0.0482425093651	1237.5	29.4117660522	18.823530197143555	88.0	Straight Road
69	Mon Nov 07 16:42:36 GMT+08:00 2016	07-Nov-2016 16:42:34.899	103.325876667	2.02829666667	8.918077	5.4	18.2	26.88	0.548	-1.685	10.091	0.063381135	32.1050796509	0.0633811354637	1200.0	29.8039226532	18.823530197143555	88.0	Straight Road
70	Mon Nov 07 16:42:37 GMT+08:00 2016	07-Nov-2016 16:42:35.899	103.325928333	2.02837166667	8.899548	5.4	17.9	28.6	0.523	-1.819	9.503	0.006731808	32.0383720398	0.00673180818558	1065.5	31.764705658	18.823530197143555	88.0	Straight Road
71	Mon Nov 07 16:42:38 GMT+08:00 2016	07-Nov-2016 16:42:36.898	103.325976667	2.02844666667	8.5855665	5.3	17.7	28.2	0.68	-1.064	9.71	0.017140806	30.908039093	0.0171408057213	957.0	34.1176490784	18.823530197143555	88.0	Straight Road
72	Mon Nov 07 16:42:39 GMT+08:00 2016	07-Nov-2016 16:42:37.899	103.326023333	2.02852	7.783115	5.4	17.5	26.73	0.737	-1.055	9.644	0.010792792	28.0192127228	0.0107927918434	882.0	35.6862754822	18.823530197143555	88.0	Straight Road
73	Mon Nov 07 16:42:40 GMT+08:00 2016	07-Nov-2016 16:42:38.898	103.326065	2.028585	7.096475	5.4	17.3	25.37	0.76	-0.938	10.02	0.047793567	25.5473098755	0.0477935671806	860.0	37.254901886	18.823530197143555	88.0	Straight Road
74	Mon Nov 07 16:42:41 GMT+08:00 2016	07-Nov-2016 16:42:39.899	103.326098333	2.028645	6.5642524	5.5	17.2	23.86	0.261	0.115	9.595	-0.0024844408	23.6313076019	-0.00248444080353	1286.5	84.3137283325	25.882352828979492	88.0	Straight Road
75	Mon Nov 07 16:42:42 GMT+08:00 2016	07-Nov-2016 16:42:40.899	103.326133333	2.02869666667	6.292994	5.5	17.0	25.33	-0.084	0.312	9.804	0.018930912	22.6547775269	0.0189309120178	1815.5	81.9607849121	29.019607543945313	88.0	Straight Road
76	Mon Nov 07 16:42:43 GMT+08:00 2016	07-Nov-2016 16:42:41.899	103.32617	2.02875	6.3104944	5.5	16.8	26.72	0.272	0.533	9.873	0.027268827	22.7177791595	0.0272688269615	2028.75	94.9019622803	34.509803771972656	88.0	Straight Road
77	Mon Nov 07 16:42:44 GMT+08:00 2016	07-Nov-2016 16:42:42.899	103.326201667	2.028805	6.588444	5.5	16.6	27.21	0.432	0.485	9.962	0.022666803	23.7183990479	0.0226668026298	2057.0	97.2549057007	40.0	88.0	Straight Road
78	Mon Nov 07 16:42:45 GMT+08:00 2016	07-Nov-2016 16:42:43.899	103.326231667	2.02886666667	6.9976487	5.5	16.4	25.7	0.487	0.323	9.714	0.0110042095	25.1915340424	0.0110042095184	2082.0	97.2549057007	40.0	88.0	Straight Road
79	Mon Nov 07 16:42:46 GMT+08:00 2016	07-Nov-2016 16:42:44.899	103.326258333	2.02893666667	7.716201	5.4	16.2	23.97	0.458	0.351	9.771	0.016759753	27.7783222198	0.0167597532272	2123.25	97.647064209	41.17647171020508	88.0	Straight Road
80	Mon Nov 07 16:42:47 GMT+08:00 2016	07-Nov-2016 16:42:45.899	103.326298333	2.02900333333	8.287542	5.4	16.0	24.95	0.74	0.202	10.501	0.09229046	29.8351516724	0.0922904610634	2148.25	96.8627471924	35.686275482177734	88.0	Straight Road
