GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C)
Sat Oct 29 14:32:15 GMT+08:00 2016,29-Oct-2016 14:32:13.227,103.32607666666667,2.02811,0.096767776,3.8,62.5,213.8,0.237,0.295,9.824,0.021169722,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-,0.348363995552063,0.021169722080230713,-,18.039215087890625,-,-
Sat Oct 29 14:32:16 GMT+08:00 2016,29-Oct-2016 14:32:14.225,103.32608,2.0281116666666668,0.0602225,3.7,62.3,232.69,0.259,0.281,9.804,0.019147217,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-,0.2168009877204895,0.019147217273712158,-,18.039215087890625,9.411765098571777,-
Sat Oct 29 14:32:17 GMT+08:00 2016,29-Oct-2016 14:32:15.225,103.32608,2.028113333333333,0.06588444,3.5,60.9,242.53,0.268,0.286,9.812,0.020001471,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0,0.23718398809432983,0.020001471042633057,740.25,18.039215087890625,9.411765098571777,88.0
Sat Oct 29 14:32:18 GMT+08:00 2016,29-Oct-2016 14:32:16.226,103.32607833333334,2.02812,0.100885555,3.4,60.4,310.99,0.289,0.291,9.775,0.021002434,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0,0.3631879985332489,0.021002434194087982,736.5,18.039215087890625,9.411765098571777,88.0
Sat Oct 29 14:32:19 GMT+08:00 2016,29-Oct-2016 14:32:17.225,103.32607833333334,2.02812,0.061251946,3.4,60.5,314.44,0.266,0.274,9.798,0.021053785,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0,0.22050699591636658,0.02105378545820713,749.75,20.784313201904297,9.411765098571777,88.0
Sat Oct 29 14:32:20 GMT+08:00 2016,29-Oct-2016 14:32:18.226,103.32607666666667,2.02812,0.025221389,3.3,59.9,157.41,0.348,1.477,9.657,0.015482485,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0,0.09079699963331223,0.015482485294342041,745.0,34.509803771972656,13.333333969116211,88.0
Sat Oct 29 14:32:21 GMT+08:00 2016,29-Oct-2016 14:32:19.224,103.32607333333333,2.0281216666666664,0.11426833,3.2,59.9,223.23,0.742,1.287,10.038,0.038334567,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0,0.41136598587036133,0.03833456709980965,1318.5,37.64706039428711,12.549019813537598,88.0
Sat Oct 29 14:32:22 GMT+08:00 2016,29-Oct-2016 14:32:20.225,103.32607166666666,2.02812,0.0,3.2,59.2,223.23,0.922,1.592,10.727,0.1284408,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0,0.0,0.12844079732894897,1246.25,36.07843017578125,16.86274528503418,89.0
Sat Oct 29 14:32:23 GMT+08:00 2016,29-Oct-2016 14:32:21.225,103.32606333333334,2.028115,0.0,3.2,58.9,223.23,0.025,0.827,9.847,0.026308715,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0,0.0,0.026308715343475342,1929.25,54.509803771972656,14.509803771972656,89.0
Sat Oct 29 14:32:24 GMT+08:00 2016,29-Oct-2016 14:32:22.224,103.32605333333335,2.0281116666666668,0.7859808,3.2,58.6,238.66,0.463,0.293,9.354,-0.025848806,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0,2.829530954360962,-0.025848805904388428,1859.75,31.764705657958984,9.411765098571777,89.0
